Station,Polymer,Depth_label,Timepoint,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
st04,background,-,t0,55.0875,9.776355724,-0.262333333,0.266843275
st11,background,-,t0,60.648,1.265271117,NA,NA
st04,background,-,t1,63.378,5.907230062,-0.388666667,0.414584531
st11,background,-,t1,61.458,1.717570086,-1.078666667,0.165460972
st04,PP,D01,t1,65.544,1.630399951,94.85533333,1.537294485
st04,PP,D01,t2,66.345,0.092368826,125.846,53.47693944
st04,PP,D01,t3,57.117,4.667732962,165.491,115.0584247
st04,PP,D02,t1,63.72,2.632603844,251.5333333,132.3319989
st04,PP,D02,t3,59.589,6.887775911,128.3416667,16.24417709
st04,PP,D02,t2,62.574,2.160493694,204.678,110.8281419
st04,PP,D03,t1,64.644,2.581452498,89.33233333,0.984055046
st04,PP,D03,t3,59.031,3.390994102,133.9496667,14.98576662
st04,PP,D03,t2,63.438,0.666871052,89.685,1.563939577
st04,PP,D04,t1,63.59625,1.741143374,99.0865,15.82461712
st04,PP,D04,t3,64.98,4.286466727,90.139,2.17269487
st04,PP,D04,t2,66.966,2.124692684,107.4826667,31.59247193
st04,PP,D05,t1,62.97,0.695353148,227.63,149.5201155
st04,PP,D05,t3,64.257,2.870002962,277.1586667,8.551544558
st04,PP,D05,t2,65.994,1.736657997,236.3673333,83.04258452
st04,PP,D06,t1,61.587,1.674967462,150.4873333,44.69503401
st04,PP,D06,t3,60.0345,5.477432336,105.0115,131.3104385
st04,PP,D06,t2,67.14,0.742759046,227.965,54.66137915
st04,PP,D07,t1,64.308,2.232586616,210.9693333,125.8304733
st04,PP,D07,t3,64.095,2.685174296,183.628,6.874869308
st04,PP,D07,t2,67.302,2.151677718,182.565,61.2526744
st04,PP,D08,t1,63.156,1.902927219,170.3603333,129.493935
st04,PP,D08,t3,62.79,1.685436739,138.08,10.49431051
st04,PP,D08,t2,61.224,6.514348548,130.41,25.97759875
st04,PP,D09,t1,65.79,17.42650783,155.089,78.57482826
st04,PP,D09,t3,66.231,3.949421097,157.3773333,6.274804326
st04,PP,D09,t2,62.673,6.767235994,179.8123333,94.96392655
st04,PP,-,t0,55.656,2.913841215,296.6426,17.2966228
st04,PP,D10,t1,55.77,0.970721381,170.779,125.0341446
st04,PP,D10,t3,63.825,1.800772334,164.174,37.64714198
st04,PP,D10,t2,57.015,2.395268461,115.1793333,6.596206814
st04,background,-,t2,63.129,1.355697975,0.560333333,0.304756187
st11,background,-,t2,61.98,4.461543679,49.31,85.19653305
st11,PP,D01,t1,62.283,2.287741463,132.547,48.34799548
st11,PP,D02,t1,67.674,2.611928598,135.6456667,57.56413093
st11,PP,D01,t2,63.525,0.622910106,274.1903333,6.481575143
st11,PP,D02,t2,61.62,0.428454198,281.2786667,4.803699651
st11,PP,D01,t3,48.624651,32.3899068,NA,NA
st11,PP,D02,t3,63.045,2.564621025,350.5463333,4.474949869
st04,PE,-,t0,62.3592,2.193447902,301.1814,13.566062
st04,PE,D03,t1,62.418,2.014077208,140.9163333,1.516031112
st04,PE,D03,t2,63.444,0.906829091,155.488,20.61731001
st04,background,-,t3,68.832,10.47969136,0.341333333,0.545657707
st11,background,-,t3,64.785,0.805101857,1.072,2.350363163
st11,PE,-,t0,60.321,1.645901273,149.799,1.099821349
st11,PE,D01,t1,63.702,1.278760337,214.6253333,106.3916925
st11,PE,D02,t1,61.701,1.463249808,152.663,2.320547996
st11,PE,D01,t2,65.604,1.740082757,292.8536667,12.13570642
st11,PE,D02,t2,63.123,2.63374714,282.6963333,3.045334519
st11,PE,D01,t3,62.394,1.623005545,361.0196667,5.447266685
st11,PE,D02,t3,63.846,1.795471804,358.0716667,7.560812148
st04,PE,D03,t3,62.094,0.570654887,221.0033333,15.72205757
st04,PE,D10,t1,60.456,1.884900263,164.9286667,13.96668036
st04,PE,D10,t2,61.851,0.961203933,273.4463333,5.197316359
st04,PE,D10,t3,61.905,3.627182378,319.3856667,7.132539894
st04,PE,D09,t1,65.067,1.120828265,162.5443333,10.548716
st04,PE,D09,t2,65.892,6.042857188,260.7076667,73.49876386
st04,PE,D09,t3,65.061,4.294452584,216.9256667,13.62696875
st04,PE,D08,t1,63.387,0.272389427,0.254333333,0.185208891
st04,PE,D08,t2,60.543,1.9065773,214.5243333,1.312038998
st04,PE,D08,t3,61.236,0.895805224,241.807,2.3675217
st04,PE,D07,t1,64.176,3.433618936,233.5593333,47.04517906
st04,PE,D07,t2,62.268,0.906829091,NA,NA
st04,PE,D07,t3,61.731,1.459193956,NA,NA
